id,code,credit,main,sub
1,1U722,1.0,1,13
2,1T040,1.0,4,2
3,1T101,1.0,3,3
4,1T102,1.0,3,3
5,1U201,0.5,1,11
6,1U246,0.5,1,11
7,1U483,0.5,1,11
8,1U510,0.5,1,11
9,1U736,1.0,4,1
10,1U752,1.0,4,1
11,1U807,1.0,4,1
12,1U824,1.0,5,1
13,1U8T1,1.0,1,12
14,2T001,1.0,4,2
15,2T040,1.0,4,2
16,2T101,1.0,3,3
17,2T109,1.0,3,8
18,2U016,1.0,1,9
19,2U072,1.0,1,10
20,2U201,0.5,1,11
21,2U246,0.5,1,11
22,2U483,0.5,1,11
23,2U510,0.5,1,11
24,2U736,1.0,4,1
25,2U752,1.0,4,1
26,2U807,1.0,4,1
27,2U824,1.0,5,1
28,3T014,0.5,4,2
29,3T101,1.0,3,3
30,3T110,2.0,3,4
31,3U018,1.0,1,9
32,3U094,1.0,1,10
33,3U113,1.0,1,10
34,3U116,1.0,1,10
35,3U185,0.5,1,11
36,3U246,0.5,1,11
37,3U481,0.5,1,11
38,3U510,0.5,1,11
39,3U754,1.0,4,1
40,3U770,1.0,4,1
41,3U806,1.0,4,1
42,3U866,1.0,1,12
43,4T023,0.5,4,2
44,4T104,2.0,3,4
45,4T111,2.0,4,7
46,4U017,1.0,1,9
47,4U080,1.0,1,10
48,4U114,1.0,1,10
49,4U185,0.5,1,11
50,4U246,0.5,1,11
51,4U481,0.5,1,11
52,4U510,0.5,1,11
53,4U754,1.0,4,1
54,4U770,1.0,4,1
55,4U806,1.0,4,1
56,4U866,1.0,1,12
